teamName,wins,region,good,won,value
Alabama,126,SEC,Champions ,Champions ,0.993
Clemson,121,ACC,Champions ,Champions ,0.954
Ohio_State,116,Big10,Champions ,Champions ,0.965
Georgia,109,SEC,Champions ,Champions ,0.993
Oklahoma,103,Big12,Not Champions ,Not Champions ,0.967
Not Champions tre Dame,94,IND,Not Champions ,Not Champions ,0.939
Boise State,94,MNW,Not Champions ,Not Champions ,0.55
Wisconsin,92,Big12,Not Champions ,Not Champions ,0.752
LSU,90,SEC,Not Champions ,Champions ,0.969
Oklahoma State,89,Big12,Not Champions ,Not Champions ,0.676
Oregon,89,PAC12,Not Champions ,Not Champions ,0.939
Michigan,87,Big10,Not Champions ,Not Champions ,0.95
San Diego State,87,MNW,Not Champions ,Not Champions ,0.268
UCF,86,AAC,Not Champions ,Not Champions ,0.45
Cincinnati,86,AAC,Not Champions ,Not Champions ,0.413
Iowa,86,Big10,Not Champions ,Not Champions ,0.651
Appalachian State,86,IND,Not Champions ,Not Champions ,0.195
Penn State,85,Big10,Not Champions ,Not Champions ,0.952
Marshall,84,Sunbelt,Not Champions ,Not Champions ,0.339
Utah,83,PAC12,Not Champions ,Not Champions ,0.635
Florida State,82,ACC,Not Champions ,Champions ,0.938
Washington,82,PAC12,Not Champions ,Not Champions ,0.909
Louisiana,82,Sunbelt,Not Champions ,Not Champions ,0.521
Memphis,81,AAC,Not Champions ,Not Champions ,0.427
Michigan State,81,Big10,Not Champions ,Not Champions ,0.759
BYU,81,IND,Not Champions ,Not Champions ,0.352
USC,81,PAC12,Not Champions ,Not Champions ,0.93
Houston,80,AAC,Not Champions ,Not Champions ,0.354
TCU,80,Big12,Not Champions ,Not Champions ,0.74
Western Kentucky,80,CUSA,Not Champions ,Not Champions ,0.254
Toledo,79,MAC,Not Champions ,Not Champions ,0.374
Auburn,79,SEC,Not Champions ,Not Champions ,0.957
Baylor,78,Big12,Not Champions ,Not Champions ,0.689
Texas A&M,78,SEC,Not Champions ,Not Champions ,0.956
Miami,75,ACC,Not Champions ,Not Champions ,0.84
Pittsburgh,75,ACC,Not Champions ,Not Champions ,0.578
Kansas State,75,Big12,Not Champions ,Not Champions ,0.47
Minnesota,75,Big10,Not Champions ,Not Champions ,0.621
Florida,75,SEC,Not Champions ,Not Champions ,0.958
Mississippi State,75,SEC,Not Champions ,Not Champions ,0.842
Air Force,74,MNW,Not Champions ,Not Champions ,0.157
Louisville,73,ACC,Not Champions ,Not Champions ,0.512
Stanford,73,PAC12,Not Champions ,Not Champions ,0.867
NC State,72,ACC,Not Champions ,Not Champions ,0.729
Troy,71,Sunbelt,Not Champions ,Not Champions ,0.28
Utah State,70,MNW,Not Champions ,Not Champions ,0.216
FresNot Champions  State,70,MNW,Not Champions ,Not Champions ,0.24
Missouri,70,SEC,Not Champions ,Not Champions ,0.658
Mississippi,70,SEC,Not Champions ,Not Champions ,0.858
Virginia Tech,69,ACC,Not Champions ,Not Champions ,0.8
Navy,69,AAC,Not Champions ,Not Champions ,0.141
